0,1,2,3,4
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3325,3319,3328,3322,3315
3312,3305,3314,3309,3301
3284,3277,3286,3280,3273
3280,3273,3283,3277,3269
3277,3270,3281,3274,3266
3272,3264,3275,3268,3259
3269,3260,3272,3265,3256
3267,3258,3270,3263,3253
3283,3274,3287,3279,3269
3279,3270,3282,3274,3264
3261,3252,3265,3257,3247
3272,3263,3276,3268,3258
3274,3264,3278,3269,3259
3278,3269,3282,3274,3263
3282,3273,3286,3278,3267
3284,3275,3288,3280,3269
3285,3275,3289,3280,3270
3285,3275,3289,3280,3269
3286,3276,3290,3281,3271
3306,3296,3310,3301,3291
3303,3293,3306,3298,3288
3286,3277,3290,3282,3272
3283,3274,3287,3279,3269
3282,3273,3286,3278,3268
3280,3271,3284,3275,3265
3274,3264,3278,3269,3259
3264,3255,3268,3260,3249
3262,3252,3266,3257,3246
3263,3253,3267,3258,3247
3274,3264,3278,3269,3258
3277,3267,3281,3272,3261
3276,3266,3281,3272,3261
3287,3277,3292,3283,3271
3298,3288,3302,3293,3282
3297,3287,3301,3292,3281
3293,3284,3297,3289,3278
3283,3273,3287,3278,3268
3266,3256,3270,3261,3251
3262,3252,3266,3257,3246
3262,3252,3266,3257,3246
3262,3252,3266,3257,3246
3265,3255,3270,3260,3249
3269,3259,3274,3265,3253
3270,3260,3274,3265,3254
3272,3261,3276,3267,3255
3276,3266,3280,3271,3260
3274,3264,3278,3269,3258
3271,3261,3276,3267,3255
3272,3262,3277,3267,3256
3274,3264,3278,3269,3258
3274,3264,3278,3269,3258
3273,3263,3278,3268,3257
3269,3259,3273,3264,3253
3268,3258,3273,3264,3252
3271,3261,3276,3267,3255
3275,3265,3279,3270,3259
3277,3267,3282,3272,3261
3272,3262,3277,3268,3256
3270,3259,3274,3265,3253
3267,3257,3272,3263,3251
3272,3262,3277,3267,3256
3275,3265,3279,3270,3258
3269,3259,3274,3264,3253
3267,3256,3271,3262,3250
3264,3254,3269,3259,3248
3261,3250,3265,3256,3244
3263,3253,3268,3258,3246
3265,3254,3269,3259,3247
3266,3255,3270,3261,3249
3266,3255,3270,3261,3248
3265,3255,3270,3260,3248
3268,3257,3273,3263,3251
3270,3259,3274,3265,3253
3269,3259,3274,3264,3252
3270,3259,3274,3264,3252
3268,3257,3273,3263,3251
3265,3254,3270,3260,3248
3272,3261,3277,3267,3255
3273,3263,3278,3268,3256
3273,3263,3278,3268,3256
3267,3257,3272,3262,3251
3265,3255,3270,3260,3248
3266,3255,3270,3261,3249
3267,3256,3272,3262,3250
3268,3257,3272,3263,3251
3270,3259,3274,3264,3252
3273,3263,3278,3268,3256
3275,3264,3279,3270,3258
3269,3259,3274,3264,3252
3267,3257,3272,3262,3250
3265,3255,3270,3260,3248
3265,3254,3269,3260,3248
3263,3252,3268,3258,3246
3264,3253,3269,3259,3247
3266,3255,3270,3261,3248
3269,3258,3274,3264,3252
3272,3261,3277,3267,3255
3296,3285,3301,3291,3279
3301,3291,3306,3296,3285
3305,3295,3309,3300,3289
3309,3299,3313,3304,3293
3312,3302,3316,3307,3297
3315,3306,3319,3311,3300
3318,3309,3322,3314,3304
3322,3313,3325,3317,3308
3325,3316,3328,3321,3311
3318,3310,3321,3314,3305
3300,3292,3303,3296,3287
3299,3291,3302,3295,3286
3298,3290,3302,3294,3285
3297,3289,3301,3293,3284
3297,3288,3300,3293,3283
3296,3287,3299,3292,3282
3295,3287,3299,3291,3282
3295,3286,3298,3291,3281
3294,3285,3298,3290,3280
3294,3285,3297,3289,3280
3293,3284,3297,3289,3279
3293,3284,3296,3288,3278
3292,3283,3296,3288,3278
3292,3283,3295,3287,3277
3291,3282,3295,3287,3277
3291,3282,3295,3287,3276
3290,3281,3294,3286,3276
3290,3281,3294,3286,3276
3290,3281,3294,3285,3275
3289,3280,3293,3285,3275
3289,3280,3293,3285,3274
3289,3280,3293,3285,3274
3289,3279,3293,3284,3274
3288,3279,3292,3284,3274
3288,3279,3292,3284,3273
3288,3279,3292,3283,3273
3288,3278,3292,3283,3273
3288,3278,3292,3283,3272
3287,3278,3291,3283,3272
3287,3278,3291,3283,3272
3287,3277,3291,3282,3272
3287,3277,3291,3282,3272
3287,3277,3291,3282,3271
3286,3277,3291,3282,3271
3286,3277,3290,3282,3271
3286,3277,3290,3282,3271
3286,3276,3290,3282,3271
3286,3276,3290,3281,3271
3256,3247,3261,3252,3241
3253,3242,3257,3248,3237
3249,3238,3253,3244,3232
3245,3234,3250,3240,3228
3242,3231,3246,3236,3224
3238,3227,3243,3233,3220
3243,3231,3248,3237,3224
3243,3231,3248,3238,3224
3247,3235,3252,3241,3228
3254,3242,3259,3248,3234
3265,3253,3271,3260,3246
3266,3254,3271,3260,3247
3265,3253,3270,3260,3246
3260,3248,3265,3254,3241
3261,3249,3266,3255,3242
3261,3249,3266,3256,3242
3260,3248,3265,3254,3241
3251,3239,3256,3245,3232
3268,3256,3273,3263,3249
3286,3274,3291,3280,3267
3278,3267,3283,3273,3260
3298,3286,3302,3292,3280
3287,3276,3292,3282,3270
3279,3268,3283,3274,3262
3267,3256,3271,3262,3250
3269,3258,3274,3264,3252
3261,3250,3265,3255,3243
3252,3241,3257,3247,3234
3249,3237,3253,3243,3231
3242,3230,3246,3236,3223
3235,3223,3240,3229,3216
3233,3221,3239,3228,3214
3233,3220,3238,3227,3213
3245,3232,3250,3239,3224
3236,3223,3241,3230,3215
3241,3228,3247,3235,3220
3237,3215,3211,3227,3201
3239,3217,3215,3229,3203
3238,3216,3216,3228,3202
3236,3215,3216,3226,3201
3235,3214,3216,3225,3200
3235,3214,3218,3225,3200
3237,3215,3221,3227,3202
3236,3215,3221,3226,3201
3235,3214,3221,3225,3200
3238,3216,3225,3228,3203
3238,3217,3226,3228,3203
3236,3214,3225,3226,3201
3233,3211,3223,3223,3198
3236,3214,3227,3226,3201
3238,3216,3230,3228,3202
3244,3222,3236,3234,3208
3247,3225,3240,3237,3211
3250,3229,3244,3240,3215
3245,3224,3240,3236,3211
3241,3220,3236,3231,3206
3239,3218,3235,3230,3205
3232,3211,3228,3222,3197
3231,3210,3228,3221,3196
3231,3210,3229,3222,3196
3234,3212,3232,3224,3198
3234,3212,3232,3223,3198
3230,3209,3229,3220,3195
3232,3210,3231,3222,3196
3233,3211,3232,3223,3197
3233,3210,3232,3222,3196
3231,3209,3231,3221,3195
3236,3213,3236,3225,3199
3235,3213,3236,3225,3199
3234,3211,3234,3223,3197
3233,3211,3234,3223,3197
3236,3214,3237,3226,3200
3236,3213,3237,3225,3199
3236,3214,3237,3226,3199
3234,3212,3236,3224,3198
3232,3210,3234,3222,3196
3229,3207,3231,3219,3193
3233,3210,3235,3222,3196
3236,3214,3239,3226,3200
3233,3211,3236,3223,3197
3238,3215,3241,3227,3201
3230,3208,3233,3220,3194
3228,3205,3231,3217,3191
3228,3205,3231,3217,3191
3236,3213,3239,3225,3199
3242,3219,3245,3231,3205
3252,3229,3255,3241,3215
3254,3232,3257,3244,3218
3268,3246,3272,3258,3233
3274,3253,3277,3264,3239
3278,3258,3282,3269,3245
3283,3263,3286,3274,3251
3287,3268,3290,3278,3256
3291,3273,3294,3283,3261
3269,3252,3273,3261,3241
3265,3248,3269,3257,3236
3264,3246,3268,3256,3235
3246,3227,3249,3237,3216
3230,3211,3233,3221,3199
3224,3204,3228,3215,3192
3218,3198,3222,3209,3185
3213,3191,3217,3203,3178
3216,3194,3221,3206,3180
3224,3201,3228,3213,3186
3219,3196,3224,3209,3181
3220,3197,3225,3209,3182
3220,3197,3225,3209,3181
3218,3194,3223,3207,3179
3212,3188,3217,3201,3173
3208,3183,3213,3196,3168
3211,3186,3216,3199,3170
3214,3189,3220,3203,3173
3217,3192,3222,3205,3175
3218,3193,3224,3207,3177
3220,3194,3225,3208,3178
3220,3195,3225,3208,3179
3228,3203,3233,3216,3187
3224,3199,3229,3212,3183
3225,3201,3231,3214,3185
3227,3202,3232,3216,3187
3227,3202,3232,3216,3187
3229,3205,3235,3218,3189
3228,3204,3234,3217,3189
